dataset,neighbours,accuracy_sk,accuracy_mod,roc_auc_sk,roc_auc_mod
3902,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3902,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3902,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
9952,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
9952,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
9952,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
31,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
31,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
31,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3549,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3549,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3549,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
22,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
22,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
22,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3560,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3560,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3560,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
9971,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
9971,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
9971,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
12,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
12,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
12,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
18,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
18,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
18,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
9978,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
9978,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
9978,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
32,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
32,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
32,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3913,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3913,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3913,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
9976,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
9976,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
9976,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
14,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
14,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
14,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
10093,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
10093,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
10093,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3021,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3021,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3021,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
37,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
37,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
37,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3917,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3917,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3917,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3022,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3022,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3022,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
7592,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
7592,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
7592,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
16,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
16,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
16,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
45,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
45,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
45,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3918,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3918,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3918,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
219,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
219,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
219,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
9977,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
9977,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
9977,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
43,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
43,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
43,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
23,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
23,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
23,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
9910,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
9910,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
9910,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
10101,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
10101,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
10101,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
15,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
15,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
15,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3481,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3481,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3481,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
9946,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
9946,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
9946,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3904,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3904,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3904,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
3573,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
3573,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
3573,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
29,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
29,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
29,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
6,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
6,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
6,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
28,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
28,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
28,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
2074,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
2074,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
2074,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
49,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
49,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
49,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
2079,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
2079,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
2079,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
53,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
53,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
53,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
11,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
11,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
11,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
9957,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
9957,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
9957,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
14952,3,0.7031852717708942,0.7547632963179427,0.5462878787878788,0.6213997113997115
14952,7,0.732437171244886,0.8080070134424314,0.5585642135642136,0.6684126984126983
14952,11,0.7460841613091759,0.7873465809468148,0.555429292929293,0.6155266955266956
